Frame Offset; Frame Index; Frame Time (ms); Time from first frame (ms)
0;21842;46.0405;0
1;21843;49.75666;46.0405006408691
2;21844;45.6905;95.7971572875977
3;21845;46.03127;141.487655639648
4;21846;47.36912;187.518924713135
5;21847;47.04146;234.888042449951
6;21848;47.46131;281.929500579834
7;21849;46.32008;329.390808105469
8;21850;47.06919;375.710884094238
9;21851;48.98577;422.780075073242
10;21852;45.07631;471.765842437744
11;21853;47.46288;516.842151641846
12;21854;48.26554;564.305034637451
13;21855;47.05523;612.570571899414
14;21856;45.24662;659.625804901123
15;21857;46.73838;704.872421264648
16;21858;49.19381;751.610805511475
17;21859;45.20327;800.804615020752
18;21860;46.67392;846.007881164551
19;21861;47.64734;892.681804656982
20;21862;45.33285;940.329147338867
21;21863;48.04485;985.661994934082
22;21864;48.29881;1033.70684432983
23;21865;46.55377;1082.00565338135
24;21866;45.75077;1128.55942153931
25;21867;49.52431;1174.31018829346
26;21868;45.42054;1223.83449554443
27;21869;48.69208;1269.25503540039
28;21870;43.88715;1317.94711303711
29;21871;47.55231;1361.8342666626
30;21872;46.24085;1409.3865737915
31;21873;48.61061;1455.62742233276
32;21874;46.90992;1504.23803710938
33;21875;45.45908;1551.14796066284
34;21876;49.03831;1596.60703659058
35;21877;46.62366;1645.64534378052
36;21878;41.82365;1692.26900100708
37;21879;47.52069;1734.09265518188
38;21880;44.6385;1781.61334609985
39;21881;46.83896;1826.25184631348
40;21882;48.50512;1873.09080505371
41;21883;48.35319;1921.59592056274
42;21884;45.78669;1969.94911193848
43;21885;45.92831;2015.73580551147
44;21886;47.10938;2061.66411209106
45;21887;47.28277;2108.77349472046
46;21888;47.65404;2156.05626296997
47;21889;46.28223;2203.71030426025
48;21890;48.35873;2249.99253463745
49;21891;45.76081;2298.35126113892
50;21892;46.05596;2344.11206817627
51;21893;48.06819;2390.16802978516
52;21894;45.99442;2438.23622131348
53;21895;47.30581;2484.23064422607
54;21896;48.1035;2531.53645324707
55;21897;46.12915;2579.63995361328
56;21898;46.77754;2625.76910400391
57;21899;47.85712;2672.54664230347
58;21900;45.534;2720.40375900269
59;21901;44.65657;2765.93775939941
60;21902;49.65777;2810.59433364868
61;21903;46.08654;2860.25210189819
62;21904;46.21807;2906.33863830566
63;21905;47.02631;2952.55671310425
64;21906;47.06866;2999.58301925659
65;21907;456.3801;3046.65167617798
66;21908;408.047;3503.0318031311
67;21909;376.579;3911.07883071899
68;21910;352.1892;4287.65781021118
69;21911;19.57742;4639.84701919556
70;21912;66.15369;4659.42444229126
71;21913;58.72953;4725.57813644409
72;21914;46.56289;4784.30767059326
73;21915;48.7915;4830.87055587769
74;21916;46.59658;4879.66205596924
75;21917;46.32896;4926.25863265991
76;21918;345.2936;4972.58759307861
77;21919;285.1392;5317.88120269775
78;21920;245.1987;5603.02042388916
79;21921;28.74719;5848.21915435791
80;21922;62.99996;5876.96634674072
81;21923;220.4818;5939.96630477905
82;21924;31.59504;6160.44814682007
83;21925;59.61873;6192.04318618774
84;21926;203.1767;6251.66191482544
85;21927;20.32369;6454.83856582642
86;21928;62.00892;6475.16225814819
87;21929;57.70369;6537.1711807251
88;21930;175.2674;6594.87487411499
89;21931;21.11592;6770.1422996521
90;21932;60.87115;6791.2582244873
91;21933;59.40431;6852.12937545776
92;21934;156.5146;6911.53368377686
93;21935;128.6755;7068.04830169678
94;21936;116.4164;7196.72380828857
95;21937;27.83938;7313.14019012451
96;21938;49.6605;7340.97957420349
97;21939;47.58688;7390.64007377625
98;21940;46.11223;7438.22695732117
99;21941;45.67134;7484.33918952942
100;21942;92.31396;7530.0105342865
101;21943;18.57708;7622.32449150085
102;21944;47.94923;7640.90156745911
103;21945;47.90319;7688.8507976532
104;21946;46.21862;7736.75398826599
105;21947;46.6305;7782.97260475159
106;21948;45.61604;7829.60310554504
107;21949;47.18215;7875.21914482117
108;21950;45.60669;7922.4012966156
109;21951;94.97639;7968.00798988342
110;21952;67.25558;8062.98437690735
111;21953;27.56177;8130.23995399475
112;21954;63.09973;8157.80172157288
113;21955;23.66046;8220.90145301819
114;21956;45.58431;8244.56191444397
115;21957;47.07977;8290.14622306824
116;21958;45.83096;8337.22599220276
117;21959;46.76358;8383.05695152283
118;21960;82.63054;8429.8205280304
119;21961;27.63215;8512.45106697083
120;21962;52.46558;8540.08322143555
121;21963;30.62938;8592.54879760742
122;21964;34.46104;8623.17818069458
123;21965;0;8657.63922119141
124;21966;22.43104;8657.63922119141
125;21967;47.95881;8680.07026100159
126;21968;48.36931;8728.02906990051
127;21969;46.7445;8776.39837837219
128;21970;45.75988;8823.14287757874
129;21971;48.2435;8868.90276145935
130;21972;45.4775;8917.14626121521
131;21973;47.26496;8962.62376213074
132;21974;49.66346;9009.88872337341
133;21975;45.79115;9059.55218696594
134;21976;48.35315;9105.34333992004
135;21977;45.13292;9153.6964931488
136;21978;47.91711;9198.82941627502
137;21979;45.48015;9246.74653053284
138;21980;47.40512;9292.22668266296
139;21981;47.78793;9339.63179969788
140;21982;47.99419;9387.41972541809
141;21983;46.18438;9435.41391563416
142;21984;45.59465;9481.59829902649
143;21985;47.76358;9527.19295310974
144;21986;47.98993;9574.95652961731
145;21987;46.79404;9622.94645500183
146;21988;47.83377;9669.74049568176
147;21989;45.03127;9717.57426261902
148;21990;48.76615;9762.6055316925
149;21991;48.19562;9811.37168312073
150;21992;44.09923;9859.56730079651
151;21993;48.97081;9903.66653251648
152;21994;46.88358;9952.63733863831
153;21995;50.54469;9999.52091407776
154;21996;42.78908;10050.0656070709
155;21997;46.60461;10092.8546848297
156;21998;47.66427;10139.4592990875
157;21999;47.0495;10187.1235675812
158;22000;48.07708;10234.1730670929
159;22001;46.56396;10282.2501430511
160;22002;48.48812;10328.8141040802
161;22003;45.67704;10377.3022212982
162;22004;47.69234;10422.9792613983
163;22005;48.33077;10470.6716060638
164;22006;43.45515;10519.002374649
165;22007;50.30888;10562.4575252533
166;22008;45.79069;10612.7664089203
167;22009;45.88258;10658.557100296
168;22010;46.40631;10704.4396762848
169;22011;47.94419;10750.8459835052
170;22012;48.82307;10798.7901744843
171;22013;44.47427;10847.6132488251
172;22014;48.22623;10892.0875148773
173;22015;49.17035;10940.3137454987
174;22016;42.00954;10989.4840908051
175;22017;57.16977;11031.4936275482
176;22018;46.37277;11088.6633968353
177;22019;51.50931;11135.0361652374
