Name; Median Time; Min Time; Max Time; Median Frame Index; Min Frame Index; Max Frame Index; Min Depth; Max Depth; Total Time; Mean Time; Time Lower Quartile; Time Upper Quartile; Count Total; Count Median; Count Min; Count Max; Number of frames containing Marker; First Frame Index; Time Min Individual; Time Max Individual; Min Individual Frame; Max Individual Frame; Time at Median Frame
"PlayerLoop";39.02839;39.02839;40.26615;13894;13894;13893;1;1;79.2945365905762;39.64727;39.02839;39.02839;2;1;1;1;2;13893;39.02839;40.26615;13894;13893;39.02839
"PostLateUpdate.FinishFrameRendering";36.04323;36.04323;37.35481;13894;13894;13893;2;2;73.3980407714844;36.69902;36.04323;36.04323;2;1;1;1;2;13893;36.04323;37.35481;13894;13893;36.04323
"Gfx.WaitForPresentOnGfxThread";25.43804;25.43804;26.78119;13894;13894;13893;3;3;52.2192325592041;26.10962;25.43804;25.43804;2;1;1;1;2;13893;25.43804;26.78119;13894;13893;25.43804
"Semaphore.WaitForSignal";25.43608;25.43608;26.7795;13894;13894;13893;4;4;52.2155742645264;26.10779;25.43608;25.43608;2;1;1;1;2;13893;25.43608;26.7795;13894;13893;25.43608
"UnityEngine.CoreModule.dll!UnityEngine.Rendering::RenderPipelineManager.DoRenderLoop_Internal() [Invoke]";9.878307;9.878307;9.924654;13894;13894;13893;3;3;19.8029613494873;9.901481;9.878307;9.878307;2;1;1;1;2;13893;9.878307;9.924654;13894;13893;9.878307
"Inl_UniversalRenderTotal";9.808692;9.808692;9.856077;13894;13894;13893;4;4;19.6647691726685;9.832384;9.808692;9.808692;2;1;1;1;2;13893;9.808692;9.856077;13894;13893;9.808692
"Inl_RenderCameraStack";9.721615;9.721615;9.770538;13894;13894;13893;5;5;19.4921531677246;9.746077;9.721615;9.721615;2;1;1;1;2;13893;9.721615;9.770538;13894;13893;9.721615
"RenderLoop.ScheduleDraw";5.249114;5.249114;5.489422;13894;13894;13893;10;11;10.7385358137544;5.369268;5.249114;5.249114;12;6;6;6;2;13893;0.001769;2.191692;13894;13893;5.249114
"Inl_UniversalRenderPipeline.RenderSingleCameraInternal: Main Camera";4.862654;4.862654;4.962077;13894;13894;13893;6;6;9.82473134994507;4.912366;4.862654;4.862654;2;1;1;1;2;13893;4.862654;4.962077;13894;13893;4.862654
"Inl_ScriptableRenderContext.Submit";4.403462;4.403462;4.497;13893;13893;13894;6;6;8.90046215057373;4.450231;4.403462;4.403462;2;1;1;1;2;13893;4.403462;4.497;13893;13894;4.497
"UniversalRenderPipeline.RenderSingleCameraInternal: Main Camera";4.110115;4.110115;4.236423;13893;13893;13894;7;7;8.34653806686401;4.173269;4.110115;4.110115;2;1;1;1;2;13893;4.110115;4.236423;13893;13894;4.236423
"ExecuteRenderGraph";4.026961;4.026961;4.1495;13893;13893;13894;8;8;8.17646074295044;4.08823;4.026961;4.026961;2;1;1;1;2;13893;4.026961;4.1495;13893;13894;4.1495
"DrawOpaqueObjects";1.849192;1.849192;2.202384;13894;13894;13893;9;9;4.05157601833344;2.025788;1.849192;1.849192;2;1;1;1;2;13893;1.849192;2.202384;13894;13893;1.849192
"WaitForJobGroupID";1.544269;1.544269;1.68327;13894;13894;13893;9;11;3.22753894235939;1.613769;1.544269;1.544269;7;3;3;4;2;13893;0.014577;1.170116;13893;13893;1.544269
"CullScriptable";1.489192;1.489192;1.6155;13893;13893;13894;7;7;3.10469198226929;1.552346;1.489192;1.489192;2;1;1;1;2;13893;1.489192;1.6155;13893;13894;1.6155
"Inl_ExecuteRenderGraph";1.4145;1.4145;1.594384;13894;13894;13893;7;7;3.00888395309448;1.504442;1.4145;1.4145;2;1;1;1;2;13893;1.4145;1.594384;13894;13893;1.4145
"DrawTransparentObjects";1.212923;1.212923;1.245807;13893;13893;13894;9;9;2.45873010158539;1.229365;1.212923;1.212923;2;1;1;1;2;13893;1.212923;1.245807;13893;13894;1.245807
"Inl_RecordRenderGraph";1.081039;1.081039;1.223308;13894;13894;13893;7;7;2.30434691905975;1.152174;1.081039;1.081039;2;1;1;1;2;13893;1.081039;1.223308;13894;13893;1.081039
"Inl_On Record Render Graph";1.048462;1.048462;1.190115;13894;13894;13893;8;8;2.23857700824738;1.119288;1.048462;1.048462;2;1;1;1;2;13893;1.048462;1.190115;13894;13893;1.048462
"RenderLoop.Draw";0.975037;0.975037;1.018036;13893;13893;13894;12;12;1.99307301267982;0.9965365;0.975037;0.975037;14;7;7;7;2;13893;0.044692;0.373461;13893;13893;1.018036
"RenderLoop.DrawSRPBatcher";0.96096;0.96096;1.051462;13893;13893;13894;12;12;2.012422028929;1.006211;0.96096;0.96096;14;7;7;7;2;13893;0.022654;0.463577;13893;13894;1.051462
"PostLateUpdate.ProfilerEndFrame";0.722269;0.722269;0.770154;13894;13894;13893;2;2;1.49242299795151;0.7462115;0.722269;0.722269;2;1;1;1;2;13893;0.722269;0.770154;13894;13893;0.722269
"Profiler.FlushCounters";0.717692;0.717692;0.765307;13894;13894;13893;3;3;1.48299902677536;0.7414995;0.717692;0.717692;2;1;1;1;2;13893;0.717692;0.765307;13894;13893;0.717692
"Profiler.FlushMemoryCounters";0.622808;0.622808;0.680461;13894;13894;13893;4;4;1.30326896905899;0.6516345;0.622808;0.622808;2;1;1;1;2;13893;0.622808;0.680461;13894;13893;0.622808
"SceneCulling";0.584;0.584;0.848538;13893;13893;13894;8;8;1.43253797292709;0.716269;0.584;0.584;2;1;1;1;2;13893;0.584;0.848538;13893;13894;0.848538
"ExecuteRenderQueueJob";0.482269;0.482269;0.482269;13893;13893;13893;12;12;0.482268989086151;0.482269;0.482269;0.482269;1;1;1;1;1;13893;0.482269;0.482269;13893;13893;0
"CullResults.CreateSharedRendererScene";0.461539;0.461539;0.564654;13894;13894;13893;8;8;1.02619299292564;0.5130965;0.461539;0.461539;2;1;1;1;2;13893;0.461539;0.564654;13894;13893;0.461539
"EndRenderQueueExtraction";0.410808;0.410808;0.515615;13894;13894;13893;9;9;0.926422983407974;0.4632115;0.410808;0.410808;2;1;1;1;2;13893;0.410808;0.515615;13894;13893;0.410808
"SRPBatcher.Flush";0.410155;0.410155;0.517307;13893;13893;13894;13;13;0.92746199015528;0.463731;0.410155;0.410155;17;8;8;9;2;13893;0.005616;0.255038;13893;13894;0.517307
"BatchRenderer.Flush";0.325347;0.325347;0.500579;13893;13893;13894;13;13;0.825926010031253;0.412963;0.325347;0.325347;27;13;13;14;2;13893;0.002847;0.166038;13894;13894;0.500579
"Idle";0.319731;0.319731;0.615616;13894;13894;13893;12;12;0.935347020626068;0.4676735;0.319731;0.319731;2;1;1;1;2;13893;0.319731;0.615616;13894;13893;0.319731
"DestroyCullResults";0.293346;0.293346;0.365923;13893;13893;13894;3;3;0.659268975257874;0.3296345;0.293346;0.293346;2;1;1;1;2;13893;0.293346;0.365923;13893;13894;0.365923
