Name; Median Time; Min Time; Max Time; Median Frame Index; Min Frame Index; Max Frame Index; Min Depth; Max Depth; Total Time; Mean Time; Time Lower Quartile; Time Upper Quartile; Count Total; Count Median; Count Min; Count Max; Number of frames containing Marker; First Frame Index; Time Min Individual; Time Max Individual; Min Individual Frame; Max Individual Frame; Time at Median Frame
"PlayerLoop";36.62392;28.46646;44.99427;80281;80102;80353;1;1;10997.8396282196;36.78207;35.88012;37.41185;299;1;1;1;299;80058;28.46646;44.99427;80102;80353;36.62408
"EndGraphicsJobs";27.21669;20.37258;34.29704;80187;80143;80212;3;3;8100.50038630104;27.09197;26.48754;27.71204;1196;4;4;4;299;80058;0.000192;34.29504;80110;80212;27.5575
"PreLateUpdate.EndGraphicsJobsAfterScriptUpdate";27.21542;20.37162;34.29623;80187;80143;80212;2;2;8100.0845413208;27.09058;26.48677;27.71054;299;1;1;1;299;80058;20.37162;34.29623;80143;80212;27.55623
"Gfx.EndAsyncJobFrame";27.21065;20.36742;34.29081;80187;80143;80212;4;4;8098.68899917603;27.08592;26.48181;27.70573;299;1;1;1;299;80058;20.36742;34.29081;80143;80212;27.5515
"Gfx.WaitForRenderThread";27.19204;20.36131;34.28369;80238;80143;80212;5;5;8092.26314163208;27.06442;26.46819;27.69738;299;1;1;1;299;80058;20.36131;34.28369;80143;80212;27.54431
"Semaphore.WaitForSignal";27.19004;20.35966;34.28115;80238;80143;80212;4;6;8090.53199930771;27.05864;26.42323;27.69512;598;2;2;2;299;80058;0.000307;34.28057;80124;80212;27.54131
"PostLateUpdate.FinishFrameRendering";7.020577;5.319769;13.62973;80185;80189;80142;2;2;2174.95783901215;7.274107;6.65023;7.610923;299;1;1;1;299;80058;5.319769;13.62973;80189;80142;6.828384
"UnityEngine.CoreModule.dll!UnityEngine.Rendering::RenderPipelineManager.DoRenderLoop_Internal() [Invoke]";6.599077;4.900077;13.25873;80194;80189;80142;3;3;2049.71625852585;6.855238;6.259846;7.136885;299;1;1;1;299;80058;4.900077;13.25873;80189;80142;6.476692
"Inl_UniversalRenderTotal";6.521462;4.843577;13.19596;80157;80189;80142;4;4;2027.57903575897;6.781201;6.184461;7.051462;299;1;1;1;299;80058;4.843577;13.19596;80189;80142;6.407346
"Inl_RenderCameraStack";6.437808;4.76523;13.12342;80157;80189;80142;5;5;1999.91179084778;6.688668;6.092423;6.961385;299;1;1;1;299;80058;4.76523;13.12342;80189;80142;6.310308
"Inl_UniversalRenderPipeline.RenderSingleCameraInternal: Main Camera";4.401769;3.297692;11.40162;80285;80189;80142;6;6;1356.56780958176;4.537016;4.2185;4.655846;299;1;1;1;299;80058;3.297692;11.40162;80189;80142;4.340462
"Inl_ScriptableRenderContext.Submit";1.482462;1.075077;5.942539;80173;80102;80198;6;6;514.259459257126;1.719931;1.330038;1.857116;299;1;1;1;299;80058;1.075077;5.942539;80102;80198;1.538885
