Issue,Severity,Areas,Filename,Assembly,Descriptor,Ignored
"'System.Collections.Generic.Dictionary`2<Unit,Tile>' allocation","Info","Memory","BoardState.cs:31","Assembly-CSharp","Object Allocation","False"
"'System.Collections.Generic.Dictionary`2<Unit,System.Int32>' allocation","Info","Memory","BoardState.cs:32","Assembly-CSharp","Object Allocation","False"
"'System.Collections.Generic.Dictionary`2<Unit,System.Boolean>' allocation","Info","Memory","BoardState.cs:33","Assembly-CSharp","Object Allocation","False"
"'System.Collections.Generic.Dictionary`2<Unit,System.Boolean>' allocation","Info","Memory","BoardState.cs:34","Assembly-CSharp","Object Allocation","False"
"'System.Collections.Generic.Dictionary`2<Unit,System.Boolean>' allocation","Info","Memory","BoardState.cs:35","Assembly-CSharp","Object Allocation","False"
"'System.Collections.Generic.HashSet`1<Unit>' allocation","Info","Memory","BoardState.cs:36","Assembly-CSharp","Object Allocation","False"
"'System.Collections.Generic.Dictionary`2<Tile,Unit>' allocation","Info","Memory","BoardState.cs:37","Assembly-CSharp","Object Allocation","False"
"'System.Collections.Generic.Dictionary`2<City,Player>' allocation","Info","Memory","BoardState.cs:38","Assembly-CSharp","Object Allocation","False"
"'System.Collections.Generic.Dictionary`2<City,Unit>' allocation","Info","Memory","BoardState.cs:39","Assembly-CSharp","Object Allocation","False"
"'System.Collections.Generic.Dictionary`2<Unit,Tile>' allocation","Info","Memory","BoardState.cs:44","Assembly-CSharp","Object Allocation","False"
"'System.Collections.Generic.Dictionary`2<Unit,System.Int32>' allocation","Info","Memory","BoardState.cs:45","Assembly-CSharp","Object Allocation","False"
"'System.Collections.Generic.Dictionary`2<Unit,System.Boolean>' allocation","Info","Memory","BoardState.cs:46","Assembly-CSharp","Object Allocation","False"
"'System.Collections.Generic.Dictionary`2<Unit,System.Boolean>' allocation","Info","Memory","BoardState.cs:47","Assembly-CSharp","Object Allocation","False"
"'System.Collections.Generic.Dictionary`2<Unit,System.Boolean>' allocation","Info","Memory","BoardState.cs:48","Assembly-CSharp","Object Allocation","False"
"'System.Collections.Generic.HashSet`1<Unit>' allocation","Info","Memory","BoardState.cs:49","Assembly-CSharp","Object Allocation","False"
"'System.Collections.Generic.Dictionary`2<Tile,Unit>' allocation","Info","Memory","BoardState.cs:50","Assembly-CSharp","Object Allocation","False"
"'System.Collections.Generic.Dictionary`2<City,Player>' allocation","Info","Memory","BoardState.cs:51","Assembly-CSharp","Object Allocation","False"
"'System.Collections.Generic.Dictionary`2<City,Unit>' allocation","Info","Memory","BoardState.cs:52","Assembly-CSharp","Object Allocation","False"
"'BoardState' allocation","Info","Memory","BoardState.cs:100","Assembly-CSharp","Object Allocation","False"
"'System.Func`2<Skill,System.Boolean>' allocation","Info","Memory","BoardState.cs:108","Assembly-CSharp","Object Allocation","False"
"'System.Linq.Enumerable.Any' usage","Moderate","CPU, Memory","BoardState.cs:108","Assembly-CSharp","System.Linq.*","False"
"'BoardState' allocation","Info","Memory","BoardState.cs:116","Assembly-CSharp","Object Allocation","False"
"'BoardState' allocation","Info","Memory","BoardState.cs:125","Assembly-CSharp","Object Allocation","False"
"'BoardState' allocation","Info","Memory","BoardState.cs:132","Assembly-CSharp","Object Allocation","False"
"'BoardState' allocation","Info","Memory","BoardState.cs:143","Assembly-CSharp","Object Allocation","False"
"'BoardState' allocation","Info","Memory","BoardState.cs:160","Assembly-CSharp","Object Allocation","False"
